expert,source_true,item_key,item_no,item_type,cognitive_level,guessed_mas,correct_source_guess,quality_score
Expert 4,Human,Human_A2_047_1,47,A2,application,1,0,4.391304347826087
Expert 4,Human,Human_A2_048_1,48,A2,application,1,0,4.565217391304348
Expert 4,Human,Human_A2_049_1,49,A2,application,0,1,4.304347826086956
Expert 4,Human,Human_A2_050_1,50,A2,application,0,1,4.434782608695652
Expert 4,Human,Human_A3/A4_033_1,33,A3/A4,analysis,0,1,4.478260869565218
Expert 4,Human,Human_A3/A4_034_1,34,A3/A4,analysis,0,1,4.478260869565218
Expert 4,Human,Human_A3/A4_035_1,35,A3/A4,analysis,1,0,4.478260869565218
Expert 4,Human,Human_A3/A4_036_1,36,A3/A4,analysis,1,0,4.391304347826087
Expert 4,Human,Human_B_010_1,10,B,comprehension,0,1,4.217391304347826
Expert 4,Human,Human_B_011_1,11,B,comprehension,0,1,4.217391304347826
Expert 4,Human,Human_B_012_1,12,B,comprehension,0,1,4.217391304347826
Expert 4,Human,Human_X_020_1,20,X,comprehension,0,1,4.217391304347826
Expert 4,Human,Human_X_021_1,21,X,comprehension,0,1,4.173913043478261
Expert 4,Human,Human_X_022_1,22,X,comprehension,1,0,4.3478260869565215
Expert 4,MAS,MAS_A1_001_1,1,A1,recall,1,1,4.217391304347826
Expert 4,MAS,MAS_A1_002_1,2,A1,recall,1,1,4.0
Expert 4,MAS,MAS_A1_006_1,6,A1,recall,1,1,4.260869565217392
Expert 4,MAS,MAS_A1_007_1,7,A1,recall,1,1,4.260869565217392
Expert 4,MAS,MAS_A1_011_1,11,A1,recall,0,0,4.086956521739131
Expert 4,MAS,MAS_A1_012_1,12,A1,recall,0,0,4.217391304347826
Expert 4,MAS,MAS_A1_013_1,13,A1,recall,0,0,4.130434782608695
Expert 4,MAS,MAS_A2_003_1,3,A2,application,1,1,4.391304347826087
Expert 4,MAS,MAS_A2_004_1,4,A2,application,1,1,4.521739130434782
Expert 4,MAS,MAS_A2_005_1,5,A2,application,0,0,4.521739130434782
Expert 4,MAS,MAS_A2_008_1,8,A2,application,0,0,4.521739130434782
Expert 4,MAS,MAS_A2_009_1,9,A2,application,0,0,4.565217391304348
Expert 4,MAS,MAS_A2_010_1,10,A2,application,0,0,4.434782608695652
Expert 4,MAS,MAS_A2_011_1,11,A2,application,0,0,4.521739130434782
Expert 4,MAS,MAS_A2_012_1,12,A2,application,0,0,4.434782608695652
Expert 4,MAS,MAS_A2_013_1,13,A2,application,0,0,4.478260869565218
Expert 4,MAS,MAS_A2_014_1,14,A2,application,0,0,4.434782608695652
Expert 4,MAS,MAS_A2_015_1,15,A2,application,0,0,4.173913043478261
Expert 4,MAS,MAS_A2_016_1,16,A2,application,0,0,4.217391304347826
Expert 4,MAS,MAS_A2_025_1,25,A2,application,0,0,4.434782608695652
Expert 4,MAS,MAS_A2_039_1,39,A2,application,1,1,4.130434782608695
Expert 4,MAS,MAS_A2_040_1,40,A2,application,1,1,4.217391304347826
Expert 4,MAS,MAS_A2_041_1,41,A2,application,0,0,4.304347826086956
Expert 4,MAS,MAS_A2_042_1,42,A2,application,0,0,4.521739130434782
Expert 4,MAS,MAS_A2_043_1,43,A2,application,0,0,4.260869565217392
Expert 4,MAS,MAS_A3/A4_019_1,19,A3/A4,analysis,0,0,4.434782608695652
Expert 4,MAS,MAS_A3/A4_020_1,20,A3/A4,analysis,0,0,4.434782608695652
Expert 4,MAS,MAS_A3/A4_021_1,21,A3/A4,analysis,0,0,4.3478260869565215
Expert 4,MAS,MAS_A3/A4_022_1,22,A3/A4,analysis,0,0,4.304347826086956
Expert 4,MAS,MAS_A3/A4_023_1,23,A3/A4,analysis,0,0,4.3478260869565215
Expert 4,MAS,MAS_A3/A4_024_1,24,A3/A4,analysis,0,0,4.391304347826087
Expert 4,MAS,MAS_A3/A4_025_1,25,A3/A4,analysis,0,0,4.434782608695652
Expert 4,MAS,MAS_A3/A4_026_1,26,A3/A4,analysis,0,0,4.434782608695652
Expert 4,MAS,MAS_A3/A4_027_1,27,A3/A4,analysis,0,0,4.478260869565218
Expert 4,MAS,MAS_A3/A4_028_1,28,A3/A4,analysis,0,0,4.478260869565218
Expert 4,MAS,MAS_A3/A4_029_1,29,A3/A4,analysis,0,0,4.434782608695652
Expert 4,MAS,MAS_A3/A4_030_1,30,A3/A4,analysis,0,0,4.260869565217392
Expert 4,MAS,MAS_A3/A4_031_1,31,A3/A4,analysis,0,0,4.260869565217392
Expert 4,MAS,MAS_A3/A4_032_1,32,A3/A4,analysis,0,0,4.260869565217392
Expert 4,MAS,MAS_B_001_1,1,B,comprehension,1,1,4.3478260869565215
Expert 4,MAS,MAS_B_002_1,2,B,comprehension,1,1,4.391304347826087
Expert 4,MAS,MAS_B_003_1,3,B,comprehension,1,1,4.260869565217392
Expert 4,MAS,MAS_X_001_1,1,X,comprehension,1,1,4.086956521739131
Expert 4,MAS,MAS_X_013_1,13,X,comprehension,0,0,4.173913043478261
Expert 4,MAS,MAS_X_014_1,14,X,comprehension,1,1,4.217391304347826
Expert 4,MAS,MAS_X_015_1,15,X,comprehension,1,1,4.304347826086956
Expert 4,MAS,MAS_X_016_1,16,X,comprehension,1,1,4.565217391304348
Expert 4,MAS,MAS_X_017_1,17,X,comprehension,1,1,4.565217391304348
Expert 4,MAS,MAS_X_018_1,18,X,comprehension,1,1,4.0
Expert 4,MAS,MAS_X_019_1,19,X,comprehension,0,0,4.260869565217392
Expert 4,MAS,MAS_A1_008_1,8,A1,recall,0,0,4.043478260869565
Expert 4,MAS,MAS_A1_009_1,9,A1,recall,1,1,4.043478260869565
Expert 4,MAS,MAS_A1_010_1,10,A1,recall,0,0,4.043478260869565
Expert 4,MAS,MAS_A2_018_1,18,A2,application,0,0,4.130434782608695
Expert 4,MAS,MAS_A2_019_1,19,A2,application,0,0,4.086956521739131
Expert 4,MAS,MAS_A2_020_1,20,A2,application,0,0,4.130434782608695
Expert 4,MAS,MAS_A2_021_1,21,A2,application,0,0,4.086956521739131
Expert 4,MAS,MAS_A2_022_1,22,A2,application,0,0,4.130434782608695
Expert 4,MAS,MAS_A2_023_1,23,A2,application,0,0,4.130434782608695
Expert 4,MAS,MAS_A2_024_1,24,A2,application,0,0,4.130434782608695
Expert 4,MAS,MAS_A3/A4_015_1,15,A3/A4,analysis,0,0,4.217391304347826
Expert 4,MAS,MAS_A3/A4_016_1,16,A3/A4,analysis,0,0,4.217391304347826
Expert 4,MAS,MAS_A3/A4_017_1,17,A3/A4,analysis,0,0,4.260869565217392
Expert 4,MAS,MAS_A3/A4_018_1,18,A3/A4,analysis,0,0,4.260869565217392
Expert 4,MAS,MAS_B_004_1,4,B,comprehension,0,0,4.434782608695652
Expert 4,MAS,MAS_B_005_1,5,B,comprehension,0,0,4.434782608695652
Expert 4,MAS,MAS_B_006_1,6,B,comprehension,0,0,4.434782608695652
Expert 4,MAS,MAS_X_009_1,9,X,comprehension,0,0,4.173913043478261
Expert 4,MAS,MAS_X_010_1,10,X,comprehension,0,0,4.173913043478261
Expert 4,MAS,MAS_X_011_1,11,X,comprehension,0,0,4.173913043478261
