source_true,target_id,item_type,cognitive_level,rater_id,qgeval_total,ulm_total
MAS,MAS_X_013_1,X,comprehension,Expert 4,35.0,61.0
MAS,MAS_X_014_1,X,comprehension,Expert 4,35.0,62.0
MAS,MAS_X_015_1,X,comprehension,Expert 4,35.0,64.0
MAS,MAS_X_016_1,X,comprehension,Expert 4,35.0,70.0
MAS,MAS_X_017_1,X,comprehension,Expert 4,35.0,70.0
MAS,MAS_X_018_1,X,comprehension,Expert 4,34.0,58.0
MAS,MAS_X_019_1,X,comprehension,Expert 4,34.0,64.0
MAS,MAS_A1_008_1,A1,recall,Expert 4,35.0,58.0
MAS,MAS_A1_009_1,A1,recall,Expert 4,35.0,58.0
MAS,MAS_A1_010_1,A1,recall,Expert 4,35.0,58.0
MAS,MAS_A2_018_1,A2,application,Expert 4,35.0,60.0
MAS,MAS_A2_019_1,A2,application,Expert 4,35.0,59.0
MAS,MAS_A2_020_1,A2,application,Expert 4,35.0,60.0
MAS,MAS_A2_021_1,A2,application,Expert 4,33.0,61.0
MAS,MAS_A2_022_1,A2,application,Expert 4,33.0,62.0
MAS,MAS_A2_023_1,A2,application,Expert 4,35.0,60.0
MAS,MAS_A2_024_1,A2,application,Expert 4,33.0,62.0
MAS,MAS_A3/A4_015_1,A3/A4,analysis,Expert 4,35.0,62.0
MAS,MAS_A3/A4_016_1,A3/A4,analysis,Expert 4,35.0,62.0
MAS,MAS_A3/A4_017_1,A3/A4,analysis,Expert 4,35.0,63.0
MAS,MAS_A3/A4_018_1,A3/A4,analysis,Expert 4,35.0,63.0
MAS,MAS_B_004_1,B,comprehension,Expert 4,35.0,67.0
MAS,MAS_B_005_1,B,comprehension,Expert 4,35.0,67.0
MAS,MAS_B_006_1,B,comprehension,Expert 4,35.0,67.0
MAS,MAS_X_009_1,X,comprehension,Expert 4,35.0,61.0
MAS,MAS_X_010_1,X,comprehension,Expert 4,35.0,61.0
MAS,MAS_X_011_1,X,comprehension,Expert 4,35.0,61.0
